date;bikes
2025-02-15;900768,901940,901529,902297,902820,901335,902296,901793,901824,902010,901048,902663,902080,902974,900485,901249,902680,901994,900110,900518,901893,902342,902885,902859,902688,900524,901566,900228,902763,900032,901410,901378,901486,900209,901468,900339,902736,901239,901086,902002,902354,901660,900369,902021,902646,902895,902521,900240,900758,902923,902601,900731,900384,902457,902877,900256,902661,902956,902453,902373,901334,902912,900963,902944,900999,902876,902096,902443,901042,902549,900961,902919,901559,900348,902841,901596,901169,902283,902268,902331,902005,902898,902398,900531,902564,900704,901434,902256,902114,903037,900054,902318,902415,900279,902515,901429,902115,902900,901071,902429,901200,902301,901274,901414,900571,901164,901147,901626,900641,900505,902498,900748,902123,901170,902823,900596,902954,902381,900168,902882,902028,902111,900444,902130,900576,900633,901920,901455,900835,902414,901874,902636,903035,902504,901982,902182,900811,901999,901957,901917,900142,901404,902632,902258,901891,902963,902150,902387,902484,901183,901465,902916,900998,902553,902842,901340,901417,900497,901140,900291,902200,900995,900412,900331,903011,901463,900983,902805,902141,902112,900203,902052,902773,901536,900785,902637,900073,900290,901727,901163,900242,900583,902026,900132,902138,900015,900082,901418,902208
2025-02-16;902256,900983,902114,900082,902521,900209,901920,902763,903011,900054,902111,901917,902944,902331,902002,902138,902805,902636,900531,901940,902484,902923,900015,902882,901147,901429,902895,900731,902387,902504,900961,901274,901465,902553,902823,901994,900339,902443,902301,900290,902112,900758,900331,901163,900203,902515,900704,902637,900132,902080,902283,901170,900240,901417,900228,901410,900633,902415,902601,900444,900198,902859,901164,901982,901468,900032,900168,900785,901414,902549,902900,902916,902974,902026,900963,902052,902096,902398,902296,901660,900576,902954,902842,902414,902208,902773,901340,901463,901042,902123,903035,901893,900348,902200,902956,900702,902919,901455,902841,900811,903037,900110,902381,900142,900505,900369,902632,902150,901200,901378,900497,902010,902373,901874,902115,902268,901418,901824,900835,901071,901559,901536,901727,901140,902963,901183,902297,901566,900485,901169,900291,902141,901086,901434,900412,900768,900256,900641,900995,901999,901404,902258,901278,901334,902021,902877,902716,902905,902342,902457,902876,900242,900073,902130,900279,902318,900999,902661,902820,900518,900998,902646,901793,902429,902885,902898,902688,900748,900571,902453,902564,902680,902736,902005,902912,901596,902028,901529,901239,900524,901249,900583,900596,902663,902182,901486,901891,901335,901626,900384,901048,901957
2025-02-17;902256,900082,902114,900983,902521,900209,901920,900984,902763,903011,900054,902111,901917,902944,902331,902002,902138,902805,902636,900531,901940,902484,902923,902882,900015,901147,901429,902895,900731,902387,902504,900961,901274,900802,901465,902553,902823,901994,900339,902443,902301,900290,902112,900758,901163,900331,900203,902515,900704,902637,900132,902080,902283,901170,900240,901417,900228,901410,900633,902415,902601,900444,900198,902859,901164,900032,901468,900168,900785,901414,902549,902900,902916,902974,902026,900963,902052,902096,902398,902296,901660,900576,902954,902842,902804,902414,902208,902773,901340,901463,901042,902123,903035,901893,900348,902200,902956,900702,902919,901455,902841,900811,903037,900110,902381,900142,900505,900369,902632,902150,901200,901378,900497,902701,902010,902373,901874,902115,902268,901418,901824,901071,901559,901536,901727,901140,902963,901183,902297,901566,900485,901169,900291,902141,901086,901434,900412,900768,900256,900641,901999,901404,902258,901278,901334,902021,902811,902877,902716,902905,902342,902457,902876,900242,900073,902130,900279,902318,900999,902661,902820,900518,900998,902646,901793,902429,902885,902898,902688,900748,900571,902453,902564,902680,902736,902005,902912,901596,902028,901529,901239,900524,901249,900583,900596,902663,902182,901486,901891,901335,901626,900384,901048,901957
2025-02-18;902256,900082,902114,901920,902521,900209,900983,900398,902763,903011,900054,902111,901917,902944,902331,902002,902138,902805,902636,900531,901940,902484,902923,900015,902882,901429,901147,902895,900731,902387,902504,900961,901274,900802,902553,902823,901994,900339,902443,902301,900290,902112,900758,901163,900203,902515,900704,902637,900132,902283,901170,901417,900228,900599,901410,900633,902415,902601,900444,902859,901164,900032,901468,900168,900785,901414,902549,902900,902916,902974,902026,900963,902052,902096,902398,902296,900576,901136,902954,902842,902804,902414,902208,902773,901340,901463,901042,902123,903035,900348,902200,902956,900686,900702,902284,900129,902919,901455,902841,900811,903037,900110,902381,900142,902011,900505,900369,902632,902150,901200,901378,900497,902010,901678,902373,901874,902115,902268,901418,901824,901240,901071,901559,900993,901536,901727,902963,901183,902297,901566,900485,901169,900291,902141,901086,901434,900412,902472,900768,900256,900641,901999,901404,902258,901278,901334,902021,902877,902811,902716,902905,902342,901877,902457,902876,900242,900073,902130,900279,902318,900999,902661,902820,900518,900998,902646,901793,902429,902885,902898,902688,902364,900748,900571,902453,902564,902680,902736,902234,902005,902912,901596,902028,901529,901239,900524,901249,900583,900596,902663,902182,901486,900046,901891,901335,901626,900499,900384,901048,901957
2025-02-19;902114,900209,902184,902763,903011,900054,902111,902944,902331,902002,902575,902138,900531,901940,902484,902923,902882,900015,901429,901147,900938,900731,902895,902504,900961,901274,900802,902823,900339,901443,900290,902112,900758,901163,902515,900704,900132,902816,901170,901417,900228,900599,901410,900633,902415,902601,901517,900444,901164,900032,901468,900168,900785,901414,902549,902900,902974,902026,900127,900963,902052,902096,902398,902296,900576,902842,902804,902414,902208,902773,901340,902123,900348,902200,902956,900686,902284,900129,902919,901455,902841,900837,900249,900811,903037,901427,900110,902381,900142,902011,900505,900369,902632,901200,901378,900497,902010,902373,901874,902115,902035,902268,901418,901824,901240,901071,901559,902136,900993,901727,902963,902297,901566,901713,900485,901169,900291,902141,901086,901434,900412,900768,900641,901999,901404,901278,902021,902543,902877,902811,902716,902905,901877,902876,900242,900279,902318,900999,902661,902820,900518,902646,900998,901793,902429,902885,902898,902364,902688,900748,900571,902680,902736,902005,901596,902028,901529,901239,901249,900583,900596,902663,902182,901486,900046,901335,900499,900119,901042,901048,901957
2025-02-20;900127,900242,901434,903011,900583,901239,903037,901957,902841,902804,900768,901877,900032,902549,900249,902601,902876,902021,901164,902575,902096,901940,901727,902398,901713,901874,902111,900596,900633,901170,901147,902331,902115,900999,900961,902842,902268,902632,900168,902297,900497,902052,902415,901404,900119,902773,900599,902661,900505,900291,900110,901999,901443,900129,900531,902002,900837,900369,901274,902318,901169,900046,900290,902123,900704,901048,901340,902855,902288,902820,902919,902688,901378,902369,901163,902138,900485,900938,901893,902885,900228,900998,900571,902035,901414,902823,902811,900686,901455,901468,901071,902680,902882,902963,902504,900748,900142,901529,901566,902200,901429,901410,902114,902112,901793,900802,900811,900412,900339,901418,902429,902026,902484,902663,902184,902877,901249,901240,901200,902956,902284,901427,902895,902182,902381,902816,902028,900209,900758,902898,900518,902923,902373,902208,900731,902414,902141,901517,901278,902646,900444,901486,902005,902515,900785,900279,901824,902716,901086,901335,901596,902296,900963,900641,902543,902011,900348,901559,901042,902364,900054,902900,900499,902080,902944,900132,902010,902763,901417,900576,900993
2025-02-21;900127,900242,901434,903011,900583,901239,903037,901957,902841,902804,900768,900032,901877,900672,902549,900249,902601,902876,902034,901164,902575,901940,902096,900143,902398,901713,901874,902074,902111,902812,900596,900633,902824,901170,901147,902331,900999,902115,900961,902842,902268,902632,900168,902297,900497,902052,902415,901404,900119,902773,900599,902661,900505,900291,900110,901999,901443,900129,900531,902002,900837,900369,901274,902318,901169,900046,900290,902123,902865,900704,901048,901340,902288,902919,902820,902688,901378,902369,901163,902138,900485,901893,900938,902885,900228,900998,900571,902035,901414,902811,900686,901455,900754,901468,902680,902882,902963,902504,900748,900142,901529,901566,902200,901429,901410,901013,900897,900469,902114,902112,901793,900802,900811,900412,900339,901418,901115,902429,902026,902484,902663,902184,902877,901134,901249,901240,901200,902956,902239,902284,901427,902895,902182,902381,900015,902816,902028,900209,900758,902898,900518,902923,902373,902208,900731,902414,902141,901278,901517,902646,900444,901486,902005,902515,900785,900279,901824,902716,901086,901335,901596,902296,900963,900641,902543,902011,902191,900348,901559,901042,902364,900054,902900,900499,902080,902944,900132,902010,902763,901417,900576,900993
2025-02-22;902005,902414,902956,900249,900998,900505,902268,900811,900508,902369,902919,902842,903037,900785,901278,902882,900599,900046,902632,901240,900518,902114,900119,901427,901566,902646,902876,901048,900469,900032,902182,902026,901418,902543,900499,902523,900129,902680,902661,901443,902112,900531,901115,902811,901455,900754,901999,902010,900641,901877,902944,901893,901434,900961,901957,901274,900571,902816,902096,900127,902208,900168,900209,902141,900291,901164,900279,902052,900142,902080,902824,902356,902429,900497,902895,901169,902841,902515,902601,900110,902865,902035,900596,900731,900704,900132,900488,901975,900633,902074,902923,901013,902398,902663,902034,901713,902484,900290,901547,901170,900686,902773,900583,902318,902804,900672,901468,900485,900197,901410,902963,900348,901378,901239,901517,900897,902549,902575,900999,901793,901417,902812,900758,902296,902900,900837,900576,902111,900565,901086,902184,901486,902415,902002,902329,901596,901874,902612,901414,900963,902688,901340,901429,902288,900444,901249,901940,900143,902820,900054,902028,903011,902747,902297,900369,900938,902123,900748,902823,902381,900802,900339,902191,902763,902239,901042,902138,901529,901824,901200,901559,901134,900993,902011,901404,902364,900242,900015,901335,902898,902885,902716,901163,902200,902373,902504
2025-02-23;902005,902956,900249,900998,900508,902268,900811,902369,902919,902842,903037,902566,900785,901278,900551,902430,902882,900599,900046,902632,900518,901240,902114,900119,901427,901566,902646,902876,901048,900361,900032,902026,902182,901819,902176,901418,902543,900499,900129,902680,902661,901443,902112,900531,901115,901207,903038,902811,901455,900754,901999,900641,901877,900833,902944,900102,902137,901893,901434,900961,901957,901274,900571,902816,902096,900862,900127,902208,900168,900209,902141,900291,901226,901164,900279,902052,902080,900142,902824,902356,902429,900497,902841,901169,902895,902132,902515,902601,900110,900731,902035,902865,900704,900596,900132,901774,900488,901643,900633,902074,902923,901013,902398,902034,901713,902484,900433,902797,900290,900686,902773,900583,902318,902804,901147,901468,900033,900485,900197,901410,902963,900348,901378,903033,901239,901517,900897,900582,902292,902549,902188,902575,900999,901793,901417,902812,900758,902296,900203,900837,900576,900353,902111,900565,901086,902184,901486,902415,902002,902329,901596,901874,900045,901482,901414,900963,902688,901340,901429,900288,902288,900444,901249,901898,901940,900143,901754,902820,900054,902028,903011,902747,902297,900369,900938,902123,900748,902823,902381,900802,901504,900339,902136,902191,902239,901042,902763,902138,901529,901729,901824,901200,901559,901134,902011,900993,901404,902364,900242,900015,902898,901335,902905,902885,902716,901163,902200,902373,902504,900682
2025-02-24;902005,902956,900249,900998,900508,900811,902268,902369,902919,902842,903037,902566,900785,901278,900551,902430,902882,900599,900046,902632,900518,902114,900119,901427,901566,902646,902876,901048,900361,900032,902026,902182,901819,901418,902543,902588,900499,900129,902680,902661,901443,902112,900531,901115,901207,903038,902811,901455,900754,901999,902482,901877,900833,901145,902944,900102,902137,901893,901434,900961,901957,901274,900571,902816,902096,900862,900127,901827,902208,900209,902141,900291,901226,900279,901164,902052,900142,902080,902824,902356,902429,900497,902132,902841,901169,902895,902515,902601,900731,900704,902865,902035,900132,900488,901643,901786,900633,902074,902923,901013,902398,902034,901713,902484,900433,902797,900290,900686,902773,900583,902318,902804,901147,901468,900033,900485,900197,902963,900348,903033,901239,901517,900582,902292,902549,902575,900999,901793,902812,900758,902296,900837,900576,900353,902111,900565,901086,902184,901486,902415,902002,902329,901596,900045,901874,901482,901414,900963,902688,901340,900288,900444,901249,901898,901940,900143,901754,902820,900054,902028,903011,902747,902297,900369,900938,902123,900748,902823,902381,900802,901504,900339,902763,902239,901042,902138,901529,901729,901824,901200,902782,901559,901134,902011,900993,901404,902778,902364,900015,901335,902898,902905,902885,902716,901163,902373,902504,900682
