date;bikes
2025-02-15;902576,902772,902665,902836,901829,901810,901852,902998,901909,902170,900556,900914,902547,901612,901990,900169,902992,902395,900849,901153,902078,902559,902315,901737,901479,902790,901085,901851
2025-02-16;902836,901737,900849,902992,900169,902665,901829,901085,901810,902078,902998,902395,901909,901153,902772,902170,900914,900556,901851,902576,900967,902315,902790,901805,902547,901479,901852,901612,902559,901990
2025-02-17;902836,901737,900849,902992,900169,902665,901829,901085,901810,902078,902998,902395,901909,901153,902772,902170,900914,900556,901851,902576,902315,902790,901805,902547,901479,901852,901612,902559,901990
2025-02-18;902836,901737,900849,902992,900169,902665,901829,900710,901085,901810,902078,902998,902395,901909,901153,902772,902170,900914,900556,901851,902576,902315,902790,901805,902547,901479,901852,901612,902559,901990
2025-02-19;902836,901737,900849,902992,900169,902665,901829,901085,901810,902078,902998,902395,901909,901153,902772,902170,900914,900556,901851,902576,901238,902315,902790,901805,902547,901479,901852,901612,902559,901990
2025-02-20;901085,902836,902665,900556,901810,902395,902315,901479,901153,900169,900849,902547,901852,901829,902431,900914,902772,902170,901805,901612,901909,901737,902790,901990,902559,902992,901851,902998,902576,902078
2025-02-21;901085,902836,902665,900556,901810,902395,902315,901479,900169,901153,900849,902547,901852,901829,900914,902772,902170,901805,901612,901909,901737,902790,901990,902559,902992,901851,902998,902576,902078
2025-02-22;900849,902665,902547,901737,901852,901153,901612,900169,901909,902836,901829,902576,900556,902992,902294,902078,902559,902170,902772,902395,901990,901810,902315,901085,901479,902594,902998,902790,900914,901851,901805
2025-02-23;900849,902665,902547,901737,901852,901153,901612,901909,900169,902836,901829,902204,902576,900556,902992,902078,902559,902170,902772,902395,901990,901810,902315,901085,901479,902998,902790,900914,901851,901805
2025-02-24;902761,902665,902385,901737,900089,902582,902210,902151,901153,901612,901909,900169,901701,901376,902576,901759,901314,900556,902078,902559,902307,902170,901101,901415,902968,902395,902416,901085,901223,901479,902998,902790,901851,901805,902724,900849,902483,902547,900645,901929,901336,901852,902883,902768,902836,903204,901829,901417,902992,902726,902655,902832,901356,901211,902772,901973,902643,901045,901990,901810,902315,902449,902936,901302,902506,900914,901687,901423
2025-02-25;902761,902665,902385,900089,901737,902582,902210,902151,901612,900169,901909,901701,901376,902576,901759,901314,902078,902307,902170,901101,901415,902968,902395,902416,901085,901223,901479,902998,902790,901805,902724,900849,902483,902547,900645,901929,901336,902883,901852,902768,902836,903204,901829,901417,902992,902726,902655,902832,901356,901211,902772,901973,902643,901045,901990,901810,902315,902449,902936,901302,902506,900914,901687,901423
2025-02-26;902761,902665,902385,900089,901737,902582,902151,902210,901612,900169,901909,901701,901376,902576,901759,901314,902078,902307,902170,901101,901415,902968,902395,902416,901085,901223,901479,902998,902790,901805,902724,900849,902483,902547,900645,901929,902505,901336,902883,901852,902768,902836,900254,903204,901829,901417,902992,902726,902655,902832,901356,901211,902772,901973,902643,901045,901990,901810,902315,902449,902936,901302,902506,900914,901687,901423
2025-02-27;902655,901302,902506,901479,901101,901612,901810,901314,902483,901990,901423,902416,901045,902836,900645,902726,900849,901356,902790,900089,902078,902395,902385,901687,901701,902768,901417,901336,901211,900914,901805,902832,902665,901085,901852,902761,901929,902307,902992,903204,902772,902936,902547,901737,902724,902643,902576,901909,901973,902998,901223,901829,902582,901376,902151,902968,900169,902315,902170,902449,902883,902210,901415,901759
2025-02-28;902655,901302,902506,901479,901101,901612,901810,901314,902483,901990,901423,902416,901045,902836,900645,902726,900849,901356,900089,902790,902078,902385,902395,901687,901701,902768,901417,901336,901211,900914,901805,902832,902665,901085,901852,902761,901929,902307,902992,903204,902772,902936,902547,901737,902724,902643,902576,901909,901973,902998,901223,901829,902582,901376,902151,902968,900169,902315,902170,902449,902883,902210,901415,901759
