date;number_of_available_bikes
2025-02-15;189
2025-02-16;192
2025-02-17;194
2025-02-18;200
2025-02-19;171
2025-02-20;171
2025-02-21;182
2025-02-22;186
2025-02-23;210
2025-02-24;198
2025-02-25;197
2025-02-26;219
2025-02-27;187
2025-02-28;194
2025-03-01;201
2025-03-02;206
2025-03-03;211
2025-03-04;215
2025-03-05;223
2025-03-06;218
2025-03-07;225
2025-03-08;242
2025-03-09;261
2025-03-10;230
2025-03-11;226
2025-03-12;245
2025-03-13;227
2025-03-14;230
2025-03-15;235
2025-03-16;264
2025-03-17;264
2025-03-18;274
2025-03-19;285
2025-03-20;279
2025-03-21;285
2025-03-22;311
2025-03-23;299
2025-03-24;292
2025-03-25;305
2025-03-26;304
2025-03-27;279
2025-03-28;261
2025-03-29;263
2025-03-30;261
2025-03-31;260
2025-04-01;261
2025-04-02;268
2025-04-03;283
2025-04-04;331
2025-04-05;312
2025-04-06;301
2025-04-07;303
2025-04-08;311
2025-04-09;311
2025-04-10;316
2025-04-11;338
2025-04-12;350
2025-04-13;372
2025-04-14;362
2025-04-15;375
2025-04-16;357
