date;number_of_available_bikes
2023-05-22;1868
2023-05-23;1873
2023-05-24;1850
2023-05-25;1824
2023-05-26;1793
2023-05-27;1771
2023-05-28;1763
2023-05-29;1760
2023-05-30;1752
2023-06-01;1696
2023-06-02;1631
2023-06-03;1632
2023-06-04;1634
2023-06-05;1644
2023-06-06;1664
2023-06-07;1657
2023-06-08;1623
2023-06-09;1636
2023-06-10;1628
2023-06-11;1625
2023-06-12;1666
2023-06-13;1720
2023-06-14;1775
2023-06-15;1806
2023-06-16;1780
2023-06-17;1759
2023-06-18;1739
2023-06-19;1760
2023-06-20;1732
2023-06-21;1728
2023-06-22;1714
2023-06-23;1678
2023-06-24;1693
2023-06-25;1713
2023-06-26;1757
2023-06-27;1780
2023-06-28;1779
2023-06-29;1774
2023-06-30;1791
2023-07-01;1798
2023-07-02;1812
2023-07-03;1814
2023-07-04;1842
2023-07-05;1853
2023-07-06;1847
2023-07-07;1878
2023-07-08;1863
2023-07-09;1865
2023-07-10;1885
2023-07-11;1857
2023-07-12;1848
2023-07-13;1847
2023-07-14;1835
2023-07-15;1807
2023-07-16;1794
2023-07-17;1806
2023-07-18;1790
2023-07-19;1768
2023-07-20;1747
2023-07-21;1728
2023-07-22;1704
2023-07-23;1688
2023-07-24;1696
2023-07-25;1692
2023-07-26;1691
2023-07-27;1697
2023-07-28;1697
2023-07-29;1695
2023-07-30;1719
2023-07-31;1737
2023-08-01;1744
2023-08-02;1742
2023-08-03;1769
2023-08-04;1767
2023-08-05;1757
2023-08-06;1751
2023-08-07;1759
2023-08-08;1774
2023-08-09;1755
2023-08-10;1776
2023-08-11;1774
2023-08-12;1769
2023-08-13;1775
2023-08-14;1784
2023-08-15;1795
2023-08-16;1810
2023-08-17;1819
2023-08-18;1821
2023-08-19;1820
2023-08-20;1828
2023-08-21;1847
2023-08-22;1834
2023-08-23;1834
2023-08-24;1830
2023-08-25;1820
2023-08-26;1815
2023-08-27;1822
2023-08-28;1834
2023-08-29;1865
2023-08-30;1841
2023-08-31;1906
2023-09-01;1875
2023-09-02;1899
2023-09-03;1884
2023-09-04;1879
2023-09-05;1878
2023-09-06;1876
2023-09-07;1868
2023-09-08;1867
2023-09-09;1866
2023-09-10;1851
2023-09-11;1842
2023-09-12;1865
2023-09-13;1862
2023-09-14;1849
2023-09-15;1859
2023-09-16;1841
2023-09-17;1838
2023-09-18;1828
2023-09-19;1817
2023-09-20;1815
2023-09-21;1804
2023-09-22;1797
2023-09-23;1786
2023-09-24;1763
2023-09-25;1776
2023-09-26;1790
2023-09-27;1780
2023-09-28;1748
2023-09-29;1767
2023-09-30;1743
2023-10-01;1738
2023-10-02;1738
2023-10-03;1707
2023-10-04;1688
2023-10-05;1677
2023-10-06;1696
2023-10-07;1671
2023-10-08;1708
2023-10-09;1716
2023-10-10;1680
2023-10-11;1714
2023-10-12;1729
2023-10-13;1741
2023-10-14;1740
2023-10-15;1751
2023-10-16;1767
2023-10-17;1793
2023-10-18;1797
2023-10-19;1818
2023-10-20;1847
2023-10-21;1835
2023-10-22;1848
2023-10-23;1864
2023-10-24;1867
2023-10-25;1852
2023-10-26;1840
2023-10-27;1816
2023-10-28;1809
2023-10-29;1797
2023-10-30;1803
2023-10-31;1832
2023-11-01;1809
2023-11-02;1796
2023-11-03;1780
2023-11-04;1771
2023-11-05;1758
2023-11-06;1756
2023-11-07;1763
2023-11-08;1752
2023-11-09;1748
2023-11-10;1745
2023-11-11;1736
2023-11-12;1725
2023-11-13;1730
2023-11-14;1745
2023-11-15;1748
2023-11-16;1770
2023-11-17;1790
2023-11-18;1776
2023-11-19;1795
2023-11-20;1798
2023-11-21;1816
2023-11-22;1834
2023-11-23;1837
2023-11-24;1850
2023-11-25;1835
2023-11-26;1830
2023-11-27;1806
2023-11-28;1829
2023-11-29;1871
2023-11-30;1872
2023-12-01;1885
2023-12-02;1900
2023-12-03;1875
2023-12-04;1907
2023-12-05;1889
2023-12-06;1898
2023-12-07;1895
2023-12-08;1881
2023-12-09;1838
2023-12-10;1847
2023-12-11;1838
2023-12-12;1837
2023-12-13;1836
2023-12-14;1827
2023-12-15;1815
2023-12-16;1770
2023-12-17;1770
2023-12-18;1782
2023-12-19;1779
2023-12-20;1777
2023-12-21;1768
2023-12-22;1775
2023-12-23;1755
2023-12-24;1752
2023-12-25;1751
2023-12-26;1750
2023-12-27;1754
2023-12-28;1735
2023-12-29;1710
2023-12-30;1683
2023-12-31;1695
2024-01-01;1678
2024-01-02;1707
2024-01-03;1695
2024-01-04;1647
2024-01-05;1661
2024-01-06;1640
2024-01-07;1645
2024-01-08;1649
2024-01-09;1675
2024-01-10;1676
2024-01-11;1685
2024-01-12;1677
2024-01-13;1684
2024-01-14;1696
2024-01-15;1683
2024-01-16;1708
2024-01-17;1723
2024-01-18;1747
2024-01-19;1809
2024-01-20;1839
2024-01-21;1837
2024-01-22;1840
2024-01-23;1867
2024-01-24;1856
2024-01-25;1863
2024-01-26;1852
2024-01-27;1825
2024-01-28;1808
2024-01-29;1859
2024-01-30;1844
2024-01-31;1866
2024-02-01;1855
2024-02-02;1828
2024-02-03;1852
2024-02-04;1856
2024-02-05;1848
2024-02-06;1823
2024-02-07;1797
2024-02-08;1843
2024-02-09;1848
2024-02-10;1841
2024-02-11;1823
2024-02-12;1828
2024-02-13;1827
2024-02-14;1812
2024-02-15;1814
2024-02-16;1798
2024-02-17;1774
2024-02-21;1772
2024-02-22;1793
2024-02-23;1783
2024-02-24;1797
2024-02-25;1786
2024-02-26;1903
2024-02-27;2111
2024-02-28;2262
2024-02-29;2362
2024-03-01;2434
2024-03-02;2509
2024-03-03;2577
2024-03-04;2602
2024-03-05;2504
2024-03-06;2360
2024-03-07;2342
2024-03-08;2307
2024-03-09;2313
2024-03-10;2293
2024-03-11;2291
2024-03-12;2287
2024-03-13;2275
2024-03-14;2279
2024-03-15;2285
2024-03-16;2256
2024-03-17;2265
2024-03-18;2263
2024-03-19;2284
2024-03-20;2284
2024-03-21;2268
2024-03-22;2214
2024-03-23;2177
2024-03-24;2181
2024-03-25;2157
2024-03-26;2117
2024-03-27;2043
2024-03-28;1993
2024-03-29;1864
2024-03-30;1753
2024-03-31;1749
2024-04-01;1736
2024-04-02;1742
2024-04-03;1765
2024-04-04;1790
2024-04-05;1804
2024-04-06;1762
2024-04-07;1730
2024-04-08;1763
2024-04-09;1810
2024-04-10;1852
2024-04-11;1923
2024-04-12;1963
2024-04-13;1986
2024-04-14;1986
2024-04-15;2004
2024-04-16;2019
2024-04-17;2045
2024-04-18;2078
2024-04-19;2092
2024-04-20;2054
2024-04-21;2055
2024-04-22;2069
2024-04-23;2091
2024-04-24;2143
2024-04-25;2173
2024-04-26;2188
2024-04-27;2181
2024-04-28;2186
2024-04-29;2218
2024-04-30;2224
2024-05-01;2216
2024-05-02;2215
2024-05-03;2219
2024-05-04;2216
2024-05-05;2241
