year;month;median_number_of_available_bikes;mean_number_of_available_bikes;max_number_of_available_bikes;min_number_of_available_bikes
2023;May;1793.0;1806.0;1873;1752
2023;June;1713.5;1707.1333333333334;1806;1623
2023;July;1798.0;1783.8709677419354;1885;1688
2023;August;1810.0;1801.1935483870968;1906;1742
2023;September;1841.5;1830.4333333333334;1899;1743
2023;October;1767.0;1770.2903225806451;1867;1671
2023;November;1785.0;1789.0333333333333;1872;1725
2023;December;1782.0;1805.6129032258063;1907;1683
2024;January;1708.0;1749.7096774193549;1867;1640
2024;February;1827.5;1870.6153846153845;2362;1772
2024;March;2279.0;2242.7741935483873;2602;1749
2024;April;2011.5;1981.0666666666666;2224;1730
2024;May;2315.0;2303.1935483870966;2382;2215
2024;June;2111.0;2166.7241379310344;2374;2034
2024;July;2068.0;2066.3548387096776;2136;2013
2024;August;2109.0;2106.8571428571427;2159;2057
2024;September;2031.5;2039.2142857142858;2103;1994
2024;October;2040.0;2041.7777777777778;2121;1987
2024;November;1822.0;1825.2962962962963;1982;1619
2024;December;1893.0;1889.516129032258;1975;1800
2025;January;1673.0;1681.032258064516;1807;1553
2025;February;1963.0;1959.0;2086;1733
2025;March;1822.0;1830.0967741935483;1895;1774
2025;April;1794.0;1779.8125;1850;1705
